اسم الموديل,التصنيف,الموفر (Provider),الرابط المباشر
Kling: Video O1,فيديو (Video),N/A,https://openrouter.ai/kwaivgi/kling-video-o1
MoonshotAI: Kimi K2.6,كتابة (Text),N/A,https://openrouter.ai/moonshotai/kimi-k2.6
Mistral: Voxtral Mini TTS,صوت/نطق (TTS),N/A,https://openrouter.ai/mistralai/voxtral-mini-tts-2603
OpenAI: GPT-4o Mini TTS,صوت/نطق (TTS),N/A,https://openrouter.ai/openai/gpt-4o-mini-tts-2025-12-15
Google: Gemini Embedding 2 Preview,إحداثيات (Embeddings),N/A,https://openrouter.ai/google/gemini-embedding-2-preview
Anthropic: Claude Opus 4.7,كتابة (Text),N/A,https://openrouter.ai/anthropic/claude-opus-4.7
Alibaba: Wan 2.7,فيديو (Video),N/A,https://openrouter.ai/alibaba/wan-2.7
ByteDance: Seedance 2.0 Fast,فيديو (Video),N/A,https://openrouter.ai/bytedance/seedance-2.0-fast
ByteDance: Seedance 2.0,فيديو (Video),N/A,https://openrouter.ai/bytedance/seedance-2.0
Elephant,كتابة (Text),N/A,https://openrouter.ai/openrouter/elephant-alpha
Anthropic: Claude Opus 4.6 (Fast),كتابة (Text),N/A,https://openrouter.ai/anthropic/claude-opus-4.6-fast
Z.ai: GLM 5.1,كتابة (Text),N/A,https://openrouter.ai/z-ai/glm-5.1
Cohere: Rerank 4 Pro,إعادة ترتيب (Rerank),N/A,https://openrouter.ai/cohere/rerank-4-pro
Cohere: Rerank 4 Fast,إعادة ترتيب (Rerank),N/A,https://openrouter.ai/cohere/rerank-4-fast
Cohere: Rerank v3.5,إعادة ترتيب (Rerank),N/A,https://openrouter.ai/cohere/rerank-v3.5
Google: Gemma 4 26B A4B  (free),كتابة (Text),N/A,https://openrouter.ai/google/gemma-4-26b-a4b-it:free
Google: Gemma 4 26B A4B,كتابة (Text),N/A,https://openrouter.ai/google/gemma-4-26b-a4b-it
Google: Gemma 4 31B (free),كتابة (Text),N/A,https://openrouter.ai/google/gemma-4-31b-it:free
Google: Gemma 4 31B,كتابة (Text),N/A,https://openrouter.ai/google/gemma-4-31b-it
Qwen: Qwen3.6 Plus,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen3.6-plus
Z.ai: GLM 5V Turbo,كتابة (Text),N/A,https://openrouter.ai/z-ai/glm-5v-turbo
Arcee AI: Trinity Large Thinking,كتابة (Text),N/A,https://openrouter.ai/arcee-ai/trinity-large-thinking
xAI: Grok 4.20 Multi-Agent,كتابة (Text),N/A,https://openrouter.ai/x-ai/grok-4.20-multi-agent
xAI: Grok 4.20,كتابة (Text),N/A,https://openrouter.ai/x-ai/grok-4.20
Google: Lyria 3 Pro Preview,كتابة (Text),N/A,https://openrouter.ai/google/lyria-3-pro-preview
Google: Lyria 3 Clip Preview,كتابة (Text),N/A,https://openrouter.ai/google/lyria-3-clip-preview
Alibaba: Wan 2.6,فيديو (Video),N/A,https://openrouter.ai/alibaba/wan-2.6
Kwaipilot: KAT-Coder-Pro V2,كتابة (Text),N/A,https://openrouter.ai/kwaipilot/kat-coder-pro-v2
ByteDance: Seedance 1.5 Pro,فيديو (Video),N/A,https://openrouter.ai/bytedance/seedance-1-5-pro
OpenAI: Sora 2 Pro,فيديو (Video),N/A,https://openrouter.ai/openai/sora-2-pro
Google: Veo 3.1,فيديو (Video),N/A,https://openrouter.ai/google/veo-3.1
Reka Edge,كتابة (Text),N/A,https://openrouter.ai/rekaai/reka-edge
Xiaomi: MiMo-V2-Omni,كتابة (Text),N/A,https://openrouter.ai/xiaomi/mimo-v2-omni
Xiaomi: MiMo-V2-Pro,كتابة (Text),N/A,https://openrouter.ai/xiaomi/mimo-v2-pro
MiniMax: MiniMax M2.7,كتابة (Text),N/A,https://openrouter.ai/minimax/minimax-m2.7
OpenAI: GPT-5.4 Nano,كتابة (Text),N/A,https://openrouter.ai/openai/gpt-5.4-nano
OpenAI: GPT-5.4 Mini,كتابة (Text),N/A,https://openrouter.ai/openai/gpt-5.4-mini
Mistral: Mistral Small 4,كتابة (Text),N/A,https://openrouter.ai/mistralai/mistral-small-2603
Perplexity: Embed V1 4B,إحداثيات (Embeddings),N/A,https://openrouter.ai/perplexity/pplx-embed-v1-4b
Perplexity: Embed V1 0.6B,إحداثيات (Embeddings),N/A,https://openrouter.ai/perplexity/pplx-embed-v1-0.6b
Z.ai: GLM 5 Turbo,كتابة (Text),N/A,https://openrouter.ai/z-ai/glm-5-turbo
NVIDIA: Nemotron 3 Super (free),كتابة (Text),N/A,https://openrouter.ai/nvidia/nemotron-3-super-120b-a12b:free
NVIDIA: Nemotron 3 Super,كتابة (Text),N/A,https://openrouter.ai/nvidia/nemotron-3-super-120b-a12b
ByteDance Seed: Seed-2.0-Lite,كتابة (Text),N/A,https://openrouter.ai/bytedance-seed/seed-2.0-lite
Qwen: Qwen3.5-9B,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen3.5-9b
OpenAI: GPT-5.4 Pro,كتابة (Text),N/A,https://openrouter.ai/openai/gpt-5.4-pro
OpenAI: GPT-5.4,كتابة (Text),N/A,https://openrouter.ai/openai/gpt-5.4
Inception: Mercury 2,كتابة (Text),N/A,https://openrouter.ai/inception/mercury-2
OpenAI: GPT-5.3 Chat,كتابة (Text),N/A,https://openrouter.ai/openai/gpt-5.3-chat
Google: Gemini 3.1 Flash Lite Preview,كتابة (Text),N/A,https://openrouter.ai/google/gemini-3.1-flash-lite-preview
ByteDance Seed: Seed-2.0-Mini,كتابة (Text),N/A,https://openrouter.ai/bytedance-seed/seed-2.0-mini
Google: Nano Banana 2 (Gemini 3.1 Flash Image Preview),صور (Image),N/A,https://openrouter.ai/google/gemini-3.1-flash-image-preview
Qwen: Qwen3.5-35B-A3B,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen3.5-35b-a3b
Qwen: Qwen3.5-27B,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen3.5-27b
Qwen: Qwen3.5-122B-A10B,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen3.5-122b-a10b
Qwen: Qwen3.5-Flash,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen3.5-flash-02-23
LiquidAI: LFM2-24B-A2B,كتابة (Text),N/A,https://openrouter.ai/liquid/lfm-2-24b-a2b
Google: Gemini 3.1 Pro Preview Custom Tools,كتابة (Text),N/A,https://openrouter.ai/google/gemini-3.1-pro-preview-customtools
NVIDIA: Llama Nemotron Embed VL 1B V2 (free),إحداثيات (Embeddings),N/A,https://openrouter.ai/nvidia/llama-nemotron-embed-vl-1b-v2:free
OpenAI: GPT-5.3-Codex,كتابة (Text),N/A,https://openrouter.ai/openai/gpt-5.3-codex
AionLabs: Aion-2.0,كتابة (Text),N/A,https://openrouter.ai/aion-labs/aion-2.0
Google: Gemini 3.1 Pro Preview,كتابة (Text),N/A,https://openrouter.ai/google/gemini-3.1-pro-preview
Anthropic: Claude Sonnet 4.6,كتابة (Text),N/A,https://openrouter.ai/anthropic/claude-sonnet-4.6
Qwen: Qwen3.5 Plus 2026-02-15,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen3.5-plus-02-15
Qwen: Qwen3.5 397B A17B,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen3.5-397b-a17b
MiniMax: MiniMax M2.5 (free),كتابة (Text),N/A,https://openrouter.ai/minimax/minimax-m2.5:free
MiniMax: MiniMax M2.5,كتابة (Text),N/A,https://openrouter.ai/minimax/minimax-m2.5
Z.ai: GLM 5,كتابة (Text),N/A,https://openrouter.ai/z-ai/glm-5
Qwen: Qwen3 Max Thinking,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen3-max-thinking
Anthropic: Claude Opus 4.6,كتابة (Text),N/A,https://openrouter.ai/anthropic/claude-opus-4.6
Qwen: Qwen3 Coder Next,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen3-coder-next
Sourceful: Riverflow V2 Pro,صور (Image),N/A,https://openrouter.ai/sourceful/riverflow-v2-pro
Sourceful: Riverflow V2 Fast,صور (Image),N/A,https://openrouter.ai/sourceful/riverflow-v2-fast
StepFun: Step 3.5 Flash,كتابة (Text),N/A,https://openrouter.ai/stepfun/step-3.5-flash
Arcee AI: Trinity Large Preview (free),كتابة (Text),N/A,https://openrouter.ai/arcee-ai/trinity-large-preview:free
MoonshotAI: Kimi K2.5,كتابة (Text),N/A,https://openrouter.ai/moonshotai/kimi-k2.5
Upstage: Solar Pro 3,كتابة (Text),N/A,https://openrouter.ai/upstage/solar-pro-3
MiniMax: MiniMax M2-her,كتابة (Text),N/A,https://openrouter.ai/minimax/minimax-m2-her
Writer: Palmyra X5,كتابة (Text),N/A,https://openrouter.ai/writer/palmyra-x5
LiquidAI: LFM2.5-1.2B-Thinking (free),كتابة (Text),N/A,https://openrouter.ai/liquid/lfm-2.5-1.2b-thinking:free
LiquidAI: LFM2.5-1.2B-Instruct (free),كتابة (Text),N/A,https://openrouter.ai/liquid/lfm-2.5-1.2b-instruct:free
OpenAI: GPT Audio,كتابة (Text),N/A,https://openrouter.ai/openai/gpt-audio
OpenAI: GPT Audio Mini,كتابة (Text),N/A,https://openrouter.ai/openai/gpt-audio-mini
Z.ai: GLM 4.7 Flash,كتابة (Text),N/A,https://openrouter.ai/z-ai/glm-4.7-flash
Black Forest Labs: FLUX.2 Klein 4B,صور (Image),N/A,https://openrouter.ai/black-forest-labs/flux.2-klein-4b
OpenAI: GPT-5.2-Codex,كتابة (Text),N/A,https://openrouter.ai/openai/gpt-5.2-codex
AllenAI: Olmo 3.1 32B Instruct,كتابة (Text),N/A,https://openrouter.ai/allenai/olmo-3.1-32b-instruct
ByteDance Seed: Seedream 4.5,صور (Image),N/A,https://openrouter.ai/bytedance-seed/seedream-4.5
ByteDance Seed: Seed 1.6 Flash,كتابة (Text),N/A,https://openrouter.ai/bytedance-seed/seed-1.6-flash
ByteDance Seed: Seed 1.6,كتابة (Text),N/A,https://openrouter.ai/bytedance-seed/seed-1.6
MiniMax: MiniMax M2.1,كتابة (Text),N/A,https://openrouter.ai/minimax/minimax-m2.1
Z.ai: GLM 4.7,كتابة (Text),N/A,https://openrouter.ai/z-ai/glm-4.7
Google: Gemini 3 Flash Preview,كتابة (Text),N/A,https://openrouter.ai/google/gemini-3-flash-preview
Mistral: Mistral Small Creative,كتابة (Text),N/A,https://openrouter.ai/mistralai/mistral-small-creative
Black Forest Labs: FLUX.2 Max,صور (Image),N/A,https://openrouter.ai/black-forest-labs/flux.2-max
Xiaomi: MiMo-V2-Flash,كتابة (Text),N/A,https://openrouter.ai/xiaomi/mimo-v2-flash
NVIDIA: Nemotron 3 Nano 30B A3B (free),كتابة (Text),N/A,https://openrouter.ai/nvidia/nemotron-3-nano-30b-a3b:free
